Race,Feature,Mean_Abs_SHAP
2022_Silverstone,Std_Throttle_On_Dist_Norm,0.0015127599728325136
2022_Silverstone,Mean_Throttle_Integral_Norm,0.00015032439043618552
2022_Silverstone,Std_Throttle_Integral_Norm,0.00221564364063978
2022_Silverstone,Mean_Speed_Variability,0.015494637530987537
2022_Silverstone,Std_Speed_Variability,0.0011543765994948643
2022_Silverstone,P_0,0.0004288082891371103
2022_Silverstone,P_1,0.000576378950705047
2022_Silverstone,P_2,0.0
2022_Silverstone,Style_Cluster_ID,0.0
2022_Silverstone,Style_Entropy,0.00042892048867597345
2022_Silverstone,Year,0.0
2022_Silverstone,Tyre_Compound_Interaction,0.003097148117857285
2022_Spielberg,LapNumber,0.0005731041832350318
2022_Spielberg,Stint,0.0
2022_Spielberg,TyreLife,0.0006158545748032288
2022_Spielberg,Position,0.0228337762579087
2022_Spielberg,AirTemp,0.0004778880638996053
2022_Spielberg,Humidity,0.0012275354116730122
2022_Spielberg,Pressure,0.049278288864460354
2022_Spielberg,TrackTemp,0.0012695652602062618
2022_Spielberg,WindDirection,0.0018480075020209054
2022_Spielberg,WindSpeed,0.0017548582294792032
2022_Spielberg,FuelLoad,0.008696266660072486
2022_Spielberg,Track_Evolution,0.000547153435846722
2022_Spielberg,Cumulative_Field_Dist_KM,0.002913584978096376
2022_Spielberg,Lap_Damage,0.00048548709464426405
2022_Spielberg,LatOffset_Mean,7.26265876709787e-05
2022_Spielberg,Accumulated_Tyre_Wear,7.614380829242947e-05
2022_Spielberg,LatOffset_Std,6.957615702765657e-05
2022_Spielberg,Energy_Lap,0.0008935527790277202
2022_Spielberg,Gap_To_Car_Ahead,0.0014381563129484535
2022_Spielberg,Dirty_Air_Fraction,0.0
2022_Spielberg,Aero_Loss,0.00016326462560014738
2022_Spielberg,DRS_Fraction,0.0
2022_Spielberg,Traction_1_5,0.0
2022_Spielberg,Asphalt_Grip_1_5,0.0
2022_Spielberg,Asphalt_Abrasion_1_5,0.051983475060853726
2022_Spielberg,Track_Evolution_1_5,0.0
2022_Spielberg,Tyre_Stress_1_5,0.0
2022_Spielberg,Braking_1_5,7.370561536384365e-05
2022_Spielberg,Lateral_1_5,0.0
