Driver,LapNumber,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_Variability,Std_Speed_Variability,LapTime_Sec,Z_Mean_Apex_Speed_Ratio,Z_Mean_Throttle_On_Dist_Norm,Z_Mean_Throttle_Integral_Norm,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy
ALB,36.0,0.6873437676825354,0.23725482234302328,0.3547515287629714,0.1507482522847928,0.24899623754506037,0.2783947247402434,0.29117301249461774,0.3338652568094839,0.39159151697841516,0.2874757415601495,0.1537988482195618,0.06696900047159905,78.804,-0.38756333846566915,0.878671163692534,-0.7593946917166521,0.011852358734514843,0.179832324635015,0.8083153166304702,2,0.5331236700520963
ALB,37.0,0.6759891399321669,0.23208332138020743,0.3463387361919797,0.1680183743773825,0.18878301424985483,0.2657762398163256,0.24553155000360538,0.2764487835144858,0.4070144620099655,0.2716247177321784,0.1423897680533168,0.056850324228000695,79.143,-0.77931921957624,0.13918775986715626,-0.5377427224703536,0.5626509447960878,0.043231635373250456,0.39411741983066206,0,0.8263419317084725
ALB,38.0,0.6921987549136986,0.24787356907739724,0.33793123175818507,0.15299629144506613,0.2089897676901935,0.28365552807780614,0.262188602783628,0.27657042266997495,0.3546597594575877,0.2610920327710701,0.15675256474679605,0.10096362220568028,78.633,-0.22005720419691444,0.40906548540883125,-1.290162114246675,0.024431698660720074,0.0005933668071675397,0.974974934532112,2,0.11980521310363185
ALB,39.0,0.719693542792375,0.24364112572583083,0.3476459799754201,0.1604574565505681,0.22028271115811268,0.28687196638364426,0.2693640176337129,0.28110677708027876,0.4091300399100341,0.2773399225110983,0.17031018563497147,0.11315161246494626,78.774,0.728564370033872,0.5253216241827551,-0.5073385417717325,0.07195088879653079,0.795497728679703,0.1325513825237661,1,0.6392158991217789
ALB,40.0,0.6941693579217275,0.239254897403217,0.36715729934036656,0.173622621758805,0.21732597910191329,0.2588062418974375,0.2866995566020658,0.3353515501108732,0.3804646832208834,0.28871612733034024,0.1623554046205911,0.07704315501141991,78.476,-0.1520677170290554,0.806192189318336,-0.9193047872780308,0.017458520488133542,0.08133459967859304,0.9012068798332734,2,0.36849821523035264
ALB,41.0,0.6947561184779216,0.22774407481696549,0.3750347956456366,0.17997951205805104,0.18884079080712463,0.2261111553464586,0.3417681269928328,0.3714428416937007,0.40320785658614416,0.3181066215799088,0.18656817169074633,0.100033695643001,78.825,-0.1318233810854756,1.6984136838504353,-0.592449627449112,4.853891592451053e-07,0.8153892742292789,0.1846102403815622,1,0.4783201299251795
ALB,42.0,0.7322706837429048,0.22897101416046503,0.35139776201605016,0.1885645429733231,0.20081006316279015,0.2515390383359847,0.28413283309580933,0.2796708638145683,0.4045350055334167,0.2842224377412231,0.1654241230967468,0.08107508332837553,78.93,1.1624992416342896,0.7646061109699723,-0.5733764104309391,0.009168885566686576,0.9178094319420336,0.07302168249127994,1,0.31283390177742054
ALB,43.0,0.7058896149787046,0.22501424197427433,0.3275517155993657,0.1838820117153445,0.23911479414788211,0.3141893707578819,0.3122505407898566,0.32049413379441666,0.42295475733578647,0.2758374240846264,0.15100644176018033,0.07452501721932123,78.486,0.25230305858262975,1.2201694750373597,-0.30865561607737807,0.00013520547742641793,0.9500563926762827,0.04980840184629105,1,0.19928350242360726
ALB,44.0,0.7000399504978612,0.23688817771091375,0.32622396770676015,0.17473786565652322,0.20597423972418127,0.2897068883747359,0.3176820322429127,0.32987840774075955,0.4016229512443372,0.3043572827378903,0.1463454676933305,0.06755290111062381,78.767,0.05047869997962083,1.3081705505582262,-0.6152272091212145,0.00012637205622254705,0.7666889896462142,0.23318463829756333,1,0.544322993961197
ALB,45.0,0.7208315218015462,0.2492371153607375,0.3406943595933907,0.15959196095470157,0.20573977344406658,0.2584138496495495,0.29942233133650276,0.37108694673248044,0.38723252161743926,0.2992030385930281,0.178933119828613,0.13331914806691286,78.829,0.7678267729258332,1.0123267050249178,-0.8220403086023568,0.003061065610668189,0.6793324372582504,0.3176064971310812,1,0.6446570134289156
