Driver,LapNumber,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_CV,Std_Speed_CV,LapTime_Sec,Z_Mean_Apex_Speed_Ratio,Z_Mean_Throttle_On_Dist_Norm,Z_Mean_Throttle_Integral_Norm,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy
ALB,23.0,0.8468127829253851,0.20409896573880504,0.2260914885455642,0.1853431305058566,0.10083679232577548,0.19383436370602591,0.2623903580208059,0.2393641679167019,0.5024827044150048,0.2567998318557807,0.08496081392411156,0.06442559092915716,93.117,-0.3501055483485373,-0.010001350872062541,-1.3041644080408434,0.0030881664988896993,0.05502044118835718,0.9418913923127532,2,0.23379882573476923
ALB,24.0,0.8780104123711792,0.1955484157687663,0.21788679162531674,0.18672578545230395,0.10692636741197271,0.2091950562756969,0.3600517888072247,0.32264865586154257,0.4532396003865172,0.2858454333251708,0.08707336451618805,0.059296162921931565,93.163,0.7352845920144259,0.9458599153609502,-1.9028623127535045,0.000533330392808737,0.005682954335056291,0.9937837152721344,2,0.03959878651715884
ALB,25.0,0.8440601386992375,0.20447152861285864,0.21235324351138835,0.22790371779488874,0.09553450202614133,0.11632878302225205,0.2608919788912877,0.23486998173440599,0.5234818986884513,0.2732464108481258,0.08328377341707373,0.05921602450192764,93.374,-0.4458722125490591,-0.024666736792638075,-1.0488560991882283,0.03492480802983579,0.09016665064414622,0.874908541326018,2,0.4510260851134433
ALB,26.0,0.8546645275021786,0.21384046576859794,0.20582596952280144,0.20071730852691616,0.11312911011398166,0.21436546755280966,0.3857799831057062,0.3308287927554001,0.48259766381773433,0.3174656685218814,0.08634834008669916,0.07371598131842898,93.175,-0.07693716024689091,1.1976746203269093,-1.5459268309341037,0.01044372345978306,0.008992767762559544,0.9805635087776574,2,0.10925600316904341
ALB,27.0,0.8375106229641385,0.22288498385539318,0.2202528837291055,0.19446272337120157,0.10995181149351113,0.2138259628571953,0.1884526879838877,0.14670543259230615,0.6351600754613487,0.24433370417661035,0.08894829599374952,0.07306395504039523,93.126,-0.6737350319142305,-0.7336663057544923,0.3089277317697858,0.9246167016749772,0.033139028771142075,0.04224426955388058,0,0.31904685191214877
ALB,28.0,0.878017848416604,0.18877980337651318,0.21179528293878022,0.18533889862351277,0.10863397732943718,0.20254191158075072,0.24804516308951158,0.2623239614450559,0.5927054091197144,0.2796916297591684,0.08538400692091112,0.06585072296978454,93.084,0.7355432979010849,-0.15040494808511132,-0.2072363136426917,0.39702974849529404,0.478208113572208,0.12476213793249782,1,0.9792056352449865
ALB,29.0,0.882540795474369,0.21025685157573193,0.21808815096663334,0.2052323421489281,0.12486563620247616,0.2362849366841521,0.3234421346135556,0.2729123756977421,0.579138294683996,0.2457671425313032,0.08918630768668771,0.06535792999083764,92.869,0.8929001942130785,0.5875429202880122,-0.3721853587102503,0.08403793761329319,0.39937717909866294,0.5165848832880441,2,0.9158992042645777
ALB,30.0,0.8304848388455681,0.21728501200923406,0.21587439446672735,0.19259345962032373,0.1144421112227505,0.1998640673886918,0.2658809646152216,0.21924913068891375,0.5621805963227194,0.2624481912716032,0.0838260920397722,0.0707781845628801,92.882,-0.9181676040705429,0.024162961614371745,-0.5783571400783032,0.4748815722056706,0.07512412223822823,0.4499943055561009,0,0.907436409111124
ALB,31.0,0.8595752842102623,0.19616482614155237,0.21200687223281142,0.20359445448319485,0.21483527389317103,0.3129888872024295,0.33465901659563935,0.2933919366418996,0.49464860517078174,0.3020012301339242,0.08488910827217248,0.0644789813719351,92.816,0.09391193974438837,0.6973281541131127,-1.3994114257778654,0.02301775669370601,0.037951320291783115,0.939030923014511,2,0.270038602708148
ALB,39.0,0.8149243584108842,0.1975934818171429,0.22504107696323702,0.2073404815114969,0.18357992252590674,0.3034401920001837,0.2389843651431085,0.2431956899420957,0.598424207348465,0.24871263450244777,0.08103961841371729,0.06726102890551737,92.63,-1.4595289941230065,-0.23908750913698912,-0.1377071362162082,0.7461145972788087,0.026604371440637063,0.22728103128055452,0,0.6517369533584962
ALB,40.0,0.8708395228670711,0.18471092635446484,0.22744960233151454,0.22773520965015126,0.07487998963803387,0.11873598687101126,0.2739262113068191,0.21961159973673758,0.5244256098260961,0.2866213406705894,0.08731717082142589,0.0687736119887883,92.176,0.4858036890209957,0.10290581463078251,-1.0373824544635764,0.051750382229338934,0.2663218353339117,0.6819277824367492,2,0.7666701182952119
ALB,41.0,0.8631720910694657,0.21391378679838852,0.20435544600701414,0.18700480880744572,0.08974205800252939,0.18697938432115488,0.31290450995258906,0.29866565214422197,0.5446662662937973,0.29014341677273053,0.08584122034909059,0.0633406489900589,91.273,0.2190476879124448,0.4844059175796676,-0.79129645204157,0.24972132188386914,0.18838908274272867,0.5618895953734022,2,0.9848346805185385
ALB,42.0,0.8564433868090742,0.20952709932119878,0.1753777209574235,0.20271954776996012,0.06159420977900513,0.09484532288328144,0.2809485491106742,0.36627828549484104,0.5667807366196435,0.30791516739732766,0.08414281436357063,0.06346846204237107,91.879,-0.015049241610250409,0.17163694677842173,-0.5224286113738693,0.49411686524778897,0.214875611257072,0.29100752349513914,0,1.0379789396306636
ALB,43.0,0.839266852167824,0.2089399097713418,0.2000277591469513,0.21033151149291807,0.05591953307180039,0.1663114272540761,0.13840021056157448,0.0797192957577745,0.6326234788314594,0.24457901260138862,0.08648579415404056,0.0637780535106944,91.752,-0.6126344324212522,-1.2235549348861154,0.2780877772750947,0.7703644418875408,0.05567808456282813,0.17395747354963137,0,0.6660312433878143
ALB,44.0,0.8557069684209396,0.19018082530591704,0.20449396874332942,0.1971859534832698,0.041066921302822613,0.15860435708128087,0.20189503857545024,0.19680499390864462,0.600659423915107,0.28175116872293043,0.08540658807871836,0.06779812302401216,92.057,-0.04066981829707861,-0.602099297631303,-0.11053136203565722,0.6644851401131078,0.21221699002603875,0.12329786986085345,0,0.8586520093887553
ALB,45.0,0.8790560312535743,0.1889344212657041,0.23282537808709733,0.19766448777804438,0.06205269054866371,0.17847763337442232,0.37811067469723403,0.30590790842350013,0.5398918340621611,0.25797852444866165,0.08544822876206505,0.06336042546700653,92.146,0.7716624978261789,1.1226112633043623,-0.8493440229586989,0.01304025871218636,0.060478482696442626,0.9264812585913712,2,0.2970088806834468
ALB,46.0,0.8547115328081031,0.21721777174686285,0.21667541589663805,0.2100374313320372,0.03919502522505501,0.06239017840640295,0.3770891715620201,0.3575615023958942,0.5532923725576263,0.2986687188861337,0.08329929145920364,0.061763250658323235,92.116,-0.07530180857109005,1.112613301238642,-0.6864202090046666,0.029323580244622522,0.13503160837001985,0.8356448113853577,2,0.5239015006794459
ALB,47.0,0.8979189724709156,0.18854059309405802,0.19206370215314442,0.1945188066507029,0.09500350176146805,0.2081701447555722,0.2995311116323727,0.2579173690276983,0.5380140654409991,0.27440897508451845,0.08453393301863861,0.061301545476225995,91.537,1.4279191038327768,0.3535137798210418,-0.8721739432329072,0.05070747632982269,0.32710453287583874,0.6221879907943391,2,0.8119611498616013
ALB,48.0,0.8797542012288457,0.20281016690958328,0.20059347374200115,0.19775648635458454,0.0890293623148459,0.17139661050536223,0.4428876104897588,0.3182692325942533,0.3981584408934978,0.3125535191799465,0.08457832106053695,0.06645425526137234,91.466,0.7959523820551611,1.7566155306056335,-2.5725393249608826,5.9577092438932914e-06,2.387152325713793e-05,0.9999701707674994,2,0.00035556536989161263
ALB,49.0,0.8421522830469418,0.20780932547179307,0.20937297219012663,0.1939483505579988,0.08299444536729418,0.2214412094955593,0.2956975246375398,0.32869803693416133,0.5813197471122661,0.3145286492332437,0.0859947249758433,0.0639974264191526,91.912,-0.5122480158079393,0.3159925466219374,-0.3456632491925383,0.5515421085633151,0.17795605727379957,0.27050183416288537,0,0.98905383697191
ALB,50.0,0.8708328383266443,0.18720410382508482,0.18356161591634984,0.1964830293809025,0.03638750962061393,0.16069460910103694,0.20036502613921398,0.29265085700641646,0.6453871865858877,0.3208452121771563,0.08559039243175082,0.0693965017476593,91.86,0.485571128586083,-0.6170742945454014,0.433268999899083,0.6675213709752844,0.30147450718111823,0.031004121843597413,0,0.738987362368924
