,LapNumber,Stint,TyreLife,Position,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,FuelLoad,Track_Evolution,Cumulative_Field_Dist_KM,Lap_Damage,LatOffset_Mean,Accumulated_Tyre_Wear,LatOffset_Std,Energy_Lap,Gap_To_Car_Ahead,Dirty_Air_Fraction,Aero_Loss,DRS_Fraction,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Circuit_Length_KM,Compound_Int,Wear_Severity_Index,Track_Flow_Type,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,Prev_LapTime,Lag_2,Rolling_Avg_3,Prev_Delta,Driver_Encoded,Location_Encoded,Team_Encoded,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_Variability,Std_Speed_Variability,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy,Year,Tyre_Compound_Interaction
FuelLoad,-0.951643792676841,-0.6776845109652146,-0.46264649804698843,0.020768284457918063,0.020633758626828747,-0.013942996704979567,-0.009977397984680031,0.13123968192596114,0.022625172391934196,0.04841232276065326,1.0,-0.12625066600371862,-0.13660689521965436,0.046982830054571434,-0.015934344839712032,-0.31078105993284755,-0.014779716222056585,-0.10866705171341771,-0.28953602508227244,0.2712242665654974,0.2759228739182821,0.17250860759407338,0.0062288540851730785,-0.002799810522073955,-0.010366581141548965,-0.02258974825936969,-0.008499068741253795,-0.01819281858488592,-0.00926178939725813,0.025333122810696482,-0.010956000775524437,-0.0235519832866259,-0.028846127852999684,0.12656607532863218,-0.010130811731424123,-0.004926121399346713,-0.008232007664845923,-0.017611165777459428,0.025521255673488768,0.009886327911010455,0.01196663867994541,0.017698540731381086,-0.03766903601750086,0.003341794050617549,0.026675738260534747,-0.0018516421088893339,0.010315933947819825,-0.083486910556601,0.04812844167485205,0.009570900583194266,0.0029175159620539364,-0.012258142738603827,0.006852074315215695,0.007819014375490471,-0.015931505137529486,0.0030093387611478902,0.004872458094152067,-0.023265424834824647,-0.027340764055813135,0.021798214270127774,0.0073624333887219425,0.01749530543189948,0.004025071648309434,-0.026927173996993594,-0.3299424540094142
Track_Evolution,0.09783340617138069,0.08376433164076953,0.0797186970592218,-0.005246156773790126,-0.03793161298845472,-0.08907767416081949,0.06498730720747295,-0.09726536504383797,0.02231066675474437,0.014872985904126973,-0.12625066600371862,1.0,0.9997776737042485,0.05202922463687384,0.0007731817229093498,0.1440150134001494,0.005750183529906557,0.04790796461472662,0.0416850387330371,-0.053890153242781756,-0.052110034791298235,-0.052069532153456555,-0.051284257273084645,-0.02021896363237219,0.08334597772355884,0.18442666087674456,0.08329174252296444,0.13196836824527144,0.10704572770508795,-0.03264025802664107,0.19118838751276024,0.10020546584230397,0.9039277473608819,-0.10938884874092057,0.09964599079967479,0.03614020148850959,-0.029911636829870646,0.15073170043629838,0.20739812262402416,0.13919916993676731,0.13869397533433175,0.13773763229210093,0.0067733421065794665,-0.009698441625256184,0.09262242976287287,0.028211711954325487,-0.06974157166128687,0.11831064308528291,0.04338869147643849,0.2543801551713265,-0.11201187351508242,-0.10840167536123144,0.002780789490202041,0.061098431402266215,-0.15538566408816296,0.10630603870925903,0.08653248241531272,0.2897530289817033,-0.036899381049049045,0.030294988234021988,0.008988493466169308,0.012501708775170808,0.030542070923707965,0.12426844254125725,-0.004617607023841808
Cumulative_Field_Dist_KM,0.10693978841401085,0.09312931941074905,0.08121523247606759,-0.005054465777380819,-0.037477692395674465,-0.08974026213937912,0.06554936611423687,-0.09839866808352465,0.02081594183344268,0.014911489230454458,-0.13660689521965436,0.9997776737042485,1.0,0.060509392245943094,0.0008434512923842988,0.1541726886912575,0.005614679235725368,0.053579257318236435,0.0448550362435545,-0.05695083125355107,-0.055182273271343646,-0.054026370041511604,-0.058729904670037594,-0.01446524947135326,0.09212097433108961,0.16855795950591793,0.09151075666323524,0.1276105146005436,0.11728977620665378,-0.03154834682611479,0.193890279970677,0.1010760333304525,0.9031420941829823,-0.1144417906330557,0.10976138546352555,0.04657058723895384,-0.02953536793550666,0.15258697920683226,0.21147491334313087,0.1374005055871235,0.13686280287999203,0.13585553244581916,0.00738955000496216,-0.009313575067566346,0.09397110744070518,0.027579770720924175,-0.0662128327653511,0.11466444502401103,0.043601785380481185,0.2567298476979172,-0.11248378585563445,-0.11031498216703754,0.004603339672868566,0.06131537348230853,-0.1539757165468521,0.10583450358499928,0.07899147686575742,0.28505744541742095,-0.0368360321933505,0.029841326158392918,0.009407745524277802,0.012577847918268832,0.02909956012911756,0.12178635381354024,-0.005966371110036607
Lap_Damage,-0.14920583712462948,0.07343029639665981,-0.28664540777378267,0.0005852980735968275,-0.10051536213959693,0.1433879030009908,0.17562697336967079,-0.19115172244412992,-0.04782619220151305,0.15046125742752434,0.046982830054571434,0.05202922463687384,0.060509392245943094,1.0,-0.020997344175913753,0.6122954856166937,-0.024193342371164276,0.5819617070881512,-0.09368154658614114,0.09968364182799964,0.09471590305827658,0.044676854480522346,-0.2077504704167397,0.48323517243285596,0.6667577620022591,-0.5328558660963129,0.7263778165426856,-0.07324973751640292,0.7537227984309963,-0.024500698443461096,0.2920045565581214,0.24816802595665777,0.08817809360878658,-0.15312932538379284,0.8383239877257376,0.6112609011432318,0.09878214041589305,0.27814267101698265,0.11697334619874925,0.27873345779640224,0.27738327524205797,0.2782933608159241,0.019666763634798606,0.006868425570140159,0.18023065509145197,-0.0051785565571281136,0.3405985721013858,-0.17412904488795802,-0.21011014664824207,0.1696071010126676,-0.07232493293112052,-0.052934798009697887,0.06170009755465281,0.05345820030333431,0.13240742333280792,0.09593070176836413,-0.44585162806113404,-0.06057949214302073,-0.017464259217809495,0.016160378461471142,0.0022824250849635434,0.005748924736771222,-0.16593739255994025,-0.03154379784900139,-0.3273686689612035
LatOffset_Mean,0.013805811300323292,0.014451537875074276,0.007948306481505914,-0.01702079419054759,0.0018910436606837905,-0.00765087853359009,0.008370882579660257,-0.010748327842594118,-0.016681654583730235,-0.001665431142469912,-0.015934344839712032,0.0007731817229093498,0.0008434512923842988,-0.020997344175913753,1.0,0.005393428313092304,0.9821648185722256,-0.06286674815177011,-0.0018388694770149487,0.0011757143555558185,-0.0026611143697518195,-0.004182942926638414,0.013848516344884083,0.004120590059607242,0.027901261405652387,0.006396114946600096,-0.0059433911875864266,0.012405741349174423,-0.004241286360152468,-0.0061841040280665276,-0.005950502121934937,-0.002602582821366521,-0.00011143341443199754,0.002850042066559844,0.01191465767452507,-0.011003544921951039,0.002668564670842825,-0.004431253648562559,-0.007539171097136317,0.0076092248770690445,0.007474383558756728,0.007402092016571277,0.0023032858942197343,0.007037126878549722,0.01095656214178837,0.00942368325923413,0.057766771571362,-0.11023724475020752,0.16531259704775278,-0.08326759398749456,-0.0047619731433602465,-0.022112696141859164,-0.018552388371025675,-0.009378236633230076,0.04125898830274224,-0.030522445912681398,-0.04162253356794636,-0.025437440467217673,0.023260740421569302,-0.016689803056767573,-0.008271838314298719,-0.013332420732069309,-0.033276684079191654,0.020517156564272932,0.008745357790232475
Accumulated_Tyre_Wear,0.21959608559201338,0.0409558560416859,0.3941647786235611,-0.078163760156233,-0.11265837274911865,0.15220195442564843,0.14888109603080774,-0.20505632872471433,-0.028147585082464996,0.11322384797961635,-0.31078105993284755,0.1440150134001494,0.1541726886912575,0.6122954856166937,0.005393428313092304,1.0,0.0012799652676657072,0.45490858856211297,0.13594969667643197,-0.1336620059117319,-0.13970023793660724,-0.11205857041442373,-0.164261025505499,0.33793379607054314,0.42258061056836566,-0.3568676890888547,0.5109519489718565,-0.05642430489420347,0.5299997107312513,-0.012084160093699985,0.22971865179628762,0.2056754455771863,0.10917254340422157,-0.1864629558661905,0.552276553548123,0.4376334599105186,0.05836647690230789,0.2240752233143374,0.0700891871917087,0.16203865559453087,0.16017979315350184,0.15641453566650776,0.03079390048729896,-0.016845276893082687,0.11026065375649641,0.0022238042508054856,0.20807751119331971,-0.08394478854491536,-0.12014815291347819,0.14720333449391632,-0.06992709944855635,-0.05057068145970527,0.03687712506377394,0.02643931619008305,0.09692640229677855,0.07140680658961902,-0.31377704799815526,-0.055392264015245885,-0.022562296430845348,0.016378037417703373,0.007818513287243782,0.011926542502202325,-0.09483932660874343,0.0561175768547609,0.2089688229976955
LatOffset_Std,0.012664138239030377,0.012757006213945384,0.008398482447352687,-0.014395514120096226,-0.0014132895687490054,-0.014438914254477938,0.012178948255581057,-0.011418099711887146,-0.015983711437819806,-0.001782141400315798,-0.014779716222056585,0.005750183529906557,0.005614679235725368,-0.024193342371164276,0.9821648185722256,0.0012799652676657072,1.0,-0.06124177832588277,-0.007484818267419008,0.006786899465119189,0.0030228186884614975,0.00019552977423203133,0.020645694612725345,5.0872930384746e-05,0.022640616819359687,0.017739207927715748,-0.00938756843857466,0.015747809144927512,-0.01281293836437347,-0.014207186062281305,-0.003488889957539503,0.00014949077975499048,0.004983753482113664,0.006276170741071441,0.006852900500134607,-0.01912373677364747,0.006410764335577648,-0.0017539507536641996,-0.007939303237849077,0.008730780292082416,0.008572933782417991,0.008507573150337714,0.0026992101842936702,0.004351514077879608,0.011107313710843033,0.010702915010272112,0.06258218324863536,-0.11121354199213826,0.1593660748473546,-0.06930700519838986,-0.0005970469434246015,-0.017506916879891303,-0.012003508360607582,4.792396309540355e-05,0.03778751095796064,-0.019518097019257236,-0.03155515722249925,-0.009937962144267063,0.022543628015877643,-0.019665186300606853,-0.004239893929011988,-0.011013665242892505,-0.03884085238140712,0.025207885364310522,0.01134920888134498
Energy_Lap,-0.0815986026541626,0.03922710487840138,-0.10758013124882865,-0.04346393663226086,-0.13308005130521536,0.3349270909725869,0.4278882304018989,-0.3724450389440123,0.01028207960027379,0.06360263238202123,-0.10866705171341771,0.04790796461472662,0.053579257318236435,0.5819617070881512,-0.06286674815177011,0.45490858856211297,-0.06124177832588277,1.0,0.015468136400130672,-0.014967757616241764,-0.01530195264373051,-0.055714575992866645,-0.2295444670940285,0.5477447547982508,0.18894996677809356,-0.26775090508378957,0.6606020949401348,-0.2977004542334689,0.7111719591968211,-0.13205838795017524,0.4372497688112293,0.42189740938881204,0.05705522633831143,-0.4622725518466095,0.48318408982952804,0.6991153150063995,0.2033908040807563,0.44183113692515896,0.06953418708502554,0.5013607556871241,0.5022250410988831,0.5015199961825157,-0.023988171639182515,-0.01091170528475118,-0.05615317241985163,0.02399918933637826,0.57009729357117,-0.2689089229716284,-0.41077398608284044,0.17558894459661117,0.14337947687664526,0.118725562003601,0.12683645930274617,0.15638366947077512,0.18031368005123444,0.22277202240173088,-0.6207223868675373,-0.14362541887518612,-0.053916048624880246,0.020287530463630462,0.039084067157322336,0.047635973797711846,-0.10685943167891565,0.08816605772449207,-0.3238377378071628
Gap_To_Car_Ahead,0.2688122669206405,0.1463568162887422,0.19762445288839386,-0.30954234997843905,0.04162931453028275,-0.04518909996846666,-0.027302601422040003,0.0009967307350137742,-0.021500443706462757,-0.024017917884824082,-0.28953602508227244,0.0416850387330371,0.0448550362435545,-0.09368154658614114,-0.0018388694770149487,0.13594969667643197,-0.007484818267419008,0.015468136400130672,1.0,-0.9380620478430829,-0.9632447791908106,-0.5908117613693896,-0.012226978574324683,0.00907320471062916,0.04407021834429953,-0.007528216470936175,0.007939477026876527,0.0008654433663001837,0.027257524316033156,0.030186274844692117,-0.02059204871054685,-0.025072297245551784,0.013606849109976128,-0.05942866141703457,0.033399438736077806,0.016057672857382483,-0.02680311144138463,-0.023429494574673318,0.007653837026882282,-0.015330581890754091,-0.014135979951627492,-0.018807636357158097,-0.021278876320101305,0.07944684953018914,-0.03226062615085969,0.08362916126706298,-0.02746704158684116,0.04299713963960968,-0.04880794322709632,-0.04912234768553694,0.034244695233584026,0.027095562088057457,-0.011850386187554083,-0.008076875887367633,0.010117841713891155,-0.0217406404583137,-0.036150373991550674,-0.01968620817868625,0.021086970865994946,-0.0029726870807861576,-0.020656058438312003,-0.018251899003488593,0.0031434633190283233,-0.034985696021939634,0.14582868819128872
Dirty_Air_Fraction,-0.25192065758188015,-0.1369762652113772,-0.18043160369744388,0.26049220988069244,-0.04424293787848754,0.04877889885379026,0.031533360271198525,-0.003300345678500554,0.018468919974849334,0.019716721306861716,0.2712242665654974,-0.053890153242781756,-0.05695083125355107,0.09968364182799964,0.0011757143555558185,-0.1336620059117319,0.006786899465119189,-0.014967757616241764,-0.9380620478430829,1.0,0.9573008524884723,0.6091079853370159,0.019436530960397054,-0.015884198840641406,-0.0535082936167578,0.01052775939022566,-0.013296815202530997,-0.0008756997454639856,-0.03701416032708984,-0.03191697509673652,0.019280897842398836,0.02755860969238693,-0.025478609622852373,0.0628593222860075,-0.04103568398241121,-0.02457878922048094,0.029256793558031246,0.023994781421036906,-0.015741543819279096,0.014763728059496386,0.013534884682733924,0.018581828176413517,0.02190567661830154,-0.061183120835652145,0.02703040143471244,-0.06365986470024786,0.03029724706454737,-0.04721052385515342,0.045604760528933974,0.037493014058301674,-0.03168861100307923,-0.02311872644689069,0.014602080163447944,0.009385701923756252,-0.008348164611935537,0.02628589768203838,0.03497292737319492,0.01612981439276454,-0.018565056830797604,0.0009122993623087059,0.020030754811602033,0.01589710580741591,-0.006935518086489372,0.03341154481960462,-0.12926029202300732
