Location,Year,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Compound_Hard_Hardness,Compound_Medium_Hardness,Compound_Soft_Hardness
São Paulo,2023,São Paulo Grand Prix,https://press.pirelli.com/the-final-sprint-weekend-of-the-season-in-brazil/,3,3,4,4,3,3,3,4,23.0,21.0,C2,C3,C4,4.309,71,2,3,4
Las Vegas,2023,Las Vegas Grand Prix,https://press.pirelli.com/viva-las-vegas/,2,3,3,5,3,3,2,1,27.0,24.5,C3,C4,C5,6.201,50,3,4,5
Yas Island,2023,Abu Dhabi Grand Prix,https://press.pirelli.com/abu-dhabi-brings-the-season-to-a-close-with-a-test-as-well/,4,4,3,4,3,4,3,3,22.0,20.0,C3,C4,C5,5.281,58,3,4,5
Sakhir,2024,Bahrain Grand Prix,https://press.pirelli.com/longest-season-in-formula-1-history-starts-in-bahrain/,4,4,5,4,3,4,3,3,22.0,19.0,C1,C2,C3,5.412,57,1,2,3
Jeddah,2024,Saudi Arabian Grand Prix,https://press.pirelli.com/mid-range-compounds-for-the-saudi-arabian-grand-prix/,2,4,2,4,3,2,3,2,24.0,21.0,C2,C3,C4,6.174,50,2,3,4
Melbourne,2024,Australian Grand Prix,https://press.pirelli.com/pirellis-c5-compound-tyre-makes-its-debut/,2,3,2,4,3,2,3,3,24.0,21.5,C3,C4,C5,5.278,58,3,4,5
Suzuka,2024,Japanese Grand Prix,https://press.pirelli.com/formula-1-comes-to-japan-in-the-springtime/,3,3,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53,1,2,3
Shanghai,2024,Chinese Grand Prix,https://press.pirelli.com/starting-from-scratch/,3,2,4,5,4,4,4,3,26.0,22.0,C2,C3,C4,305.066,56,2,3,4
Miami,2024,Miami Grand Prix,https://press.pirelli.com/pirelli-celebrates-the-miami-grand-prix-with-a-special-podium-cap/,3,3,2,5,3,3,3,2,25.0,21.5,C2,C3,C4,5.412,57,2,3,4
Imola,2024,Emilia Romagna Grand Prix,https://press.pirelli.com/formula-1-returns-to-europe-for-an-appointment-with-history/,2,2,3,2,3,3,3,3,25.5,22.0,C3,C4,C5,4.909,63,3,4,5
Monaco,2024,Monaco Grand Prix,https://press.pirelli.com/the-monaco-wheel-spins-round-to-70/,5,1,1,5,1,2,1,5,20.0,19.0,C3,C4,C5,3.337,78,3,4,5
Montréal,2024,Canadian Grand Prix,https://press.pirelli.com/new-track-surface-in-montreal/,5,1,1,5,3,5,1,1,23.5,20.5,C3,C4,C5,4.361,70,3,4,5
Barcelona,2024,Spanish Grand Prix,https://press.pirelli.com/a-hard-challenge-in-barcelona/,3,3,4,3,5,3,5,4,25.5,21.0,C1,C2,C3,4.657,66,1,2,3
Spielberg,2024,Austrian Grand Prix,https://press.pirelli.com/return-of-the-sprint-format-in-austria/,2,3,4,3,3,3,3,3,23.0,20.0,C3,C4,C5,4.318,71,3,4,5
Silverstone,2024,British Grand Prix,https://press.pirelli.com/the-hardest-compounds-for-the-cradle-of-formula-1/,3,4,2,2,5,2,5,4,26.5,23.5,C1,C2,C3,5.891,52,1,2,3
Budapest,2024,Hungarian Grand Prix,https://press.pirelli.com/a-summer-classic-at-the-hungaroring/,4,2,2,4,3,3,3,5,22.0,20.0,C3,C4,C5,4.381,70,3,4,5
Spa-Francorchamps,2024,Belgian Grand Prix,https://press.pirelli.com/a-brand-new-track-surface-at-spa-francorchamps/,4,4,4,3,5,4,5,2,26.0,24.5,C2,C3,C4,7.004,44,2,3,4
Zandvoort,2024,Dutch Grand Prix,https://press.pirelli.com/on-maxs-home-turf/,4,3,3,4,5,3,4,4,25.0,22.5,C1,C2,C3,4.259,72,1,2,3
Monza,2024,Italian Grand Prix,https://press.pirelli.com/in-monza-formula-1-goes-vrooom/,3,4,2,4,3,4,2,1,25.5,23.5,C3,C4,C5,5.793,53,3,4,5
Baku,2024,Azerbaijan Grand Prix,https://press.pirelli.com/on-track-where-the-wind-blows/,5,2,1,5,3,4,1,2,26.5,25.5,C3,C4,C5,6.003,51,3,4,5
Marina Bay,2024,Singapore Grand Prix,https://press.pirelli.com/a-new-fourth-drs-zone-in-singapore/,4,3,3,5,2,5,2,5,22.0,20.0,C3,C4,C5,4.94,62,3,4,5
Austin,2024,United States Grand Prix,https://press.pirelli.com/a-special-cap-for-the-austin-race/,4,3,3,4,4,3,4,4,23.5,22.0,C2,C3,C4,5.513,56,2,3,4
Mexico City,2024,Mexico City Grand Prix,https://press.pirelli.com/in-mexico-an-important-step-for-2025/,3,2,2,5,2,3,2,5,23.0,21.0,C3,C4,C5,4.304,71,3,4,5
São Paulo,2024,São Paulo Grand Prix,https://press.pirelli.com/a-difficult-puzzle-in-interlagos/,3,3,2,5,3,3,3,4,24.0,22.0,C3,C4,C5,4.309,71,3,4,5
Las Vegas,2024,Las Vegas Grand Prix,https://press.pirelli.com/formula-1s-fourth-visit-to-las-vegas/,2,1,2,5,4,3,2,1,28.0,26.0,C3,C4,C5,6.201,50,3,4,5
Lusail,2024,Qatar Grand Prix,https://press.pirelli.com/kerbs-a-key-topic-in-qatar/,3,3,2,4,5,3,5,4,26.0,22.5,C1,C2,C3,5.419,57,1,2,3
Yas Island,2024,Abu Dhabi Grand Prix,https://press.pirelli.com/to-abu-dhabi-for-the-grand-finale/,4,3,3,4,3,4,3,3,22.5,21.0,C3,C4,C5,5.281,58,3,4,5
Melbourne,2025,Australian Grand Prix,https://press.pirelli.com/under-starters-orders-in-melbourne-and-something-new-on-the-podium/,2,2,2,3,3,2,3,3,25.5,22.0,C3,C4,C5,5.278,58,3,4,5
Shanghai,2025,Chinese Grand Prix,https://press.pirelli.com/a-chinese-weekend-that-presents-many-challenges-as-well-as-something-new/,3,3,3,5,4,4,4,3,26.5,23.0,C2,C3,C4,305.066,56,2,3,4
Suzuka,2025,Japanese Grand Prix,https://press.pirelli.com/to-suzuka-for-something-new-and-something-old/,3,4,4,3,5,2,5,4,24.5,23.5,C1,C2,C3,5.807,53,1,2,3
Sakhir,2025,Bahrain Grand Prix,https://press.pirelli.com/in-bahrain-with-prior-knowledge/,4,3,5,4,3,4,3,3,23.0,21.0,C1,C2,C3,5.412,57,1,2,3
Jeddah,2025,Saudi Arabian Grand Prix,https://press.pirelli.com/a-softer-approach-for-jeddah/,2,4,2,4,3,3,4,2,25.5,21.5,C3,C4,C5,6.174,50,3,4,5
Miami Gardens,2025,Miami Grand Prix,https://press.pirelli.com/a-sprint-n-soft-grand-prix-in-miami/,3,4,2,5,3,3,3,3,24.5,21.5,C3,C4,C5,5.412,57,3,4,5
Imola,2025,Emilia Romagna Grand Prix,https://press.pirelli.com/the-c6-to-make-its-debut-in-imola/,2,2,2,2,3,3,3,3,24.5,22.5,C4,C5,C6,4.909,63,4,5,6
Monaco,2025,Monaco Grand Prix,https://press.pirelli.com/two-pit-stops-mandatory-in-monaco/,5,2,1,5,1,2,1,5,20.0,19.0,C4,C5,C6,3.337,78,4,5,6
Barcelona,2025,Spanish Grand Prix,https://press.pirelli.com/the-hardest-tyres-are-back-for-spain/,3,3,4,3,5,3,5,4,26.0,22.0,C1,C2,C3,4.657,66,1,2,3
Montréal,2025,Canadian Grand Prix,https://press.pirelli.com/formula-1-heads-for-montreal-with-its-overtaking-and-changeable-weather/,5,2,1,5,3,5,1,1,23.5,20.5,C4,C5,C6,4.361,70,4,5,6
Spielberg,2025,Austrian Grand Prix,https://press.pirelli.com/a-hot-summer-of-formula-1-gets-underway-in-austria/,2,3,3,3,3,3,3,3,22.5,20.0,C3,C4,C5,4.318,71,3,4,5
Silverstone,2025,British Grand Prix,https://press.pirelli.com/formula-1-goes-back-to-the-cradle/,3,4,2,2,5,2,5,4,26.5,23.5,C2,C3,C4,5.891,52,2,3,4
Spa-Francorchamps,2025,Belgian Grand Prix,https://press.pirelli.com/sprint-with-a-jump-in-compounds-in-the-ardennes/,4,3,3,3,5,4,5,2,26.5,24.5,C1,C3,C4,7.004,44,1,3,4
Budapest,2025,Hungarian Grand Prix,https://press.pirelli.com/hungary-hits-40-before-the-summer-break/,4,3,3,4,3,3,3,5,22.0,20.0,C3,C4,C5,4.381,70,3,4,5
