Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Dirty_Air_Fraction,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_CV,Std_Speed_CV,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3,Target_Delta,Prev_Delta,Driver_Encoded,Location_Encoded,Team_Encoded
0 days 01:43:20.273000,TSU,0 days 00:01:33.319000,26.0,2.0,HARD,12.0,AlphaTauri,Silverstone,20.6,61.0,1001.4,False,32.4,225,2.4,93.319,54.661538461538456,5891.0,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2945.5,1,2,3,15,0.8333333333333334,1,73.12106209498955,3.989391167281236,0.0028129395218002813,0.6,49.5,3.5,0.3684205561167245,0.407182422422907,0.8773492614556864,0.2048113369007944,0.1614112088134323,0.18273590152073957,0.10102401531765347,0.16008052931783276,0.2276329030702203,0.268879503930649,0.6089145365925066,0.27745233036275097,0.08380424470941407,0.06650684474422544,0.5871075990039949,0.25964706434768936,0.15324533664831574,0.0,0.9502235032951014,1.0,93.224,93.205,93.17566666666666,0.09499999999999886,0.019000000000005457,17,0,1
0 days 01:44:53.691000,TSU,0 days 00:01:33.418000,27.0,2.0,HARD,13.0,AlphaTauri,Silverstone,20.8,62.0,1001.4,False,32.4,209,1.2,93.418,52.565384615384616,6114.858,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3057.429,1,2,3,15,0.8333333333333334,1,70.59661210238497,3.2233735490921784,0.04207573632538569,0.6,49.5,3.5,0.3492734041322649,0.4045005717305869,0.8418223109625409,0.21356018250826317,0.15797351762528378,0.20672784556920631,0.09706089460795846,0.1262495471191435,0.4068678752418753,0.32579276778687366,0.5088680647566576,0.30026439393596804,0.08608518534242122,0.07240769043521228,0.018946633789012353,0.042562806424184384,0.9384905597868031,2.0,0.26908368541904143,1.0,93.319,93.224,93.24933333333333,0.09900000000000375,0.09499999999999886,17,0,1
0 days 01:46:26.966000,TSU,0 days 00:01:33.275000,28.0,2.0,HARD,14.0,AlphaTauri,Silverstone,20.9,61.0,1001.4,False,33.3,175,2.5,93.275,50.46923076923077,6326.934,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3163.467,1,2,3,15,0.8333333333333334,1,75.36711650057647,2.573873262601364,0.12976022566995768,0.6,49.5,3.5,0.246258838151109,0.2735775398567686,0.8418714700834705,0.21359675635687833,0.136763761686441,0.20117369129498608,0.10829868389433896,0.14177703083611748,0.2878511966959907,0.2211032061744755,0.609652035954328,0.2610466945620497,0.08486628444353142,0.0790973085502047,0.6323081084203523,0.2587322399748041,0.1089596516048436,0.0,0.8811718013779403,1.0,93.418,93.319,93.32033333333334,-0.14300000000000068,0.09900000000000375,17,0,1
0 days 01:48:00.084000,TSU,0 days 00:01:33.118000,29.0,2.0,HARD,15.0,AlphaTauri,Silverstone,21.0,61.0,1001.4,False,33.3,212,1.6,93.118,48.37307692307692,6550.792,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3275.396,1,2,3,15,0.8333333333333334,1,74.4789027654779,2.381233099077027,0.16312056737588654,0.6,49.5,3.5,0.35315537860070517,0.4376025798445736,0.8485481201798025,0.20957025591211323,0.15630427302366284,0.1850081289686877,0.11824747809970153,0.3034369063795078,0.32563041346123517,0.36493131594961914,0.5649066976087294,0.33413553710976673,0.08315413431074578,0.06397372866127207,0.4057595086301411,0.1993903314860892,0.3948501598837699,0.0,1.054422086200912,1.0,93.275,93.418,93.33733333333335,-0.1570000000000107,-0.14300000000000068,17,0,1
0 days 01:49:33.295000,TSU,0 days 00:01:33.211000,30.0,2.0,HARD,16.0,AlphaTauri,Silverstone,21.1,62.0,1001.2,False,32.4,207,3.0,93.211,46.276923076923076,6762.868,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3381.434,1,2,3,15,0.8333333333333334,1,71.8354547237073,2.105751024257155,0.33473980309423346,0.6,49.5,3.5,0.312198430001561,0.36149755993406024,0.8887036345167428,0.22235980386443663,0.13135338551027761,0.19813742558873287,0.04996300871885592,0.12690235211288928,0.2858441497516532,0.22368137278186348,0.6058632199140186,0.23621901400291057,0.08524673725358911,0.07390458373646355,0.29622059929177336,0.4777126950907257,0.22606670561750053,1.0,1.0494495522013942,1.0,93.118,93.275,93.27033333333334,0.09300000000000352,-0.1570000000000107,17,0,1
0 days 01:51:06.574000,TSU,0 days 00:01:33.279000,31.0,2.0,HARD,17.0,AlphaTauri,Silverstone,21.0,62.0,1001.4,False,31.4,235,2.2,93.279,44.18076923076923,6986.726,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3493.363,1,2,3,15,0.8333333333333334,1,73.57729618849493,1.9977541525030427,0.6062322946175638,0.6,49.5,3.5,0.4084806679472521,0.4752893432114588,0.8900413365463437,0.18622300868328426,0.12512467020921272,0.18294474848275366,0.09570023997557714,0.14753623908206195,0.29861317130366605,0.2636412823714304,0.6229646395563816,0.272437253699642,0.08420521833413314,0.0664238756430207,0.09317099578495151,0.7752115843050784,0.13161741990997014,1.0,0.6854094496343066,1.0,93.211,93.118,93.20133333333332,0.06799999999999784,0.09300000000000352,17,0,1
0 days 02:12:31.321000,TSU,0 days 00:01:32.306000,42.0,3.0,SOFT,10.0,AlphaTauri,Silverstone,21.3,62.0,1001.0,False,29.9,200,1.7,92.306,25.73461538461538,9354.908,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4677.454,1,2,3,15,0.8333333333333334,3,74.34850913655171,0.8223697076987987,1.0,0.6,49.5,3.5,0.2974805026781728,0.34653681742765235,0.8314480148544472,0.22740310882243908,0.13029558086012935,0.20461171032232559,0.043651172996253804,0.12001058781085394,0.20025198994163515,0.29522832206247657,0.6592905496168127,0.25946205658696675,0.08706640130487718,0.06909321096027791,0.9011517392147493,0.07433240262636803,0.024515858158882776,0.0,0.37791420409034643,1.0,93.321,92.932,93.045,-1.0150000000000006,0.3889999999999958,17,0,1
0 days 02:14:03.893000,TSU,0 days 00:01:32.572000,43.0,3.0,SOFT,11.0,AlphaTauri,Silverstone,21.4,61.0,1001.0,False,30.7,177,1.7,92.572,23.63846153846154,9566.984,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4783.492,1,2,3,15,0.8333333333333334,3,73.98400248139504,1.05613136360261,1.0,0.6,49.5,3.5,0.7551106364491839,1.3811032995034471,0.8710041274878318,0.2057576000174118,0.1405415814541318,0.161733308725131,0.05480696112117297,0.06805164811149322,0.2620265887295215,0.2685749159600794,0.6132649009018731,0.2642951226371392,0.08399767799872743,0.0686406284840783,0.6360229093083655,0.24243087114998846,0.12154621954164607,0.0,0.8875013286087072,1.0,92.306,93.321,92.853,0.26600000000000534,-1.0150000000000006,17,0,1
0 days 02:15:36.427000,TSU,0 days 00:01:32.534000,44.0,3.0,SOFT,12.0,AlphaTauri,Silverstone,21.4,58.0,1001.0,False,30.9,215,2.2,92.534,21.542307692307688,9779.06,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4889.53,1,2,3,15,0.8333333333333334,3,73.72737825990474,1.4776105470677645,0.9682539682539683,0.6,49.5,3.5,0.4056751202044412,0.4471287500362894,0.8657074619053237,0.18639232887054577,0.1279753976823764,0.17843963178578584,0.06350633538878739,0.09058997396950551,0.2671737501842102,0.25753761473384157,0.6514028988129186,0.28808988048299355,0.08461446053479575,0.07384054067643994,0.3080840462396017,0.6324820871173723,0.059433866643026044,1.0,0.8202503255679253,1.0,92.572,92.306,92.73299999999999,-0.0379999999999967,0.26600000000000534,17,0,1
0 days 02:17:08.921000,TSU,0 days 00:01:32.494000,45.0,3.0,SOFT,13.0,AlphaTauri,Silverstone,21.4,57.0,1001.0,False,30.4,212,2.0,92.494,19.446153846153848,9991.136,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4995.568,1,2,3,15,0.8333333333333334,3,76.14662334274001,1.4568393692726889,0.9800853485064012,0.6,49.5,3.5,0.2816438857404023,0.31353133749084106,0.8432356534136003,0.19835394776953424,0.13945232658891699,0.1871955501457102,0.1269941031942677,0.17789154399523185,0.28533156269180976,0.2555803051931865,0.5769298956212263,0.27580085001982907,0.08261491985785614,0.06705687923268608,0.5906505767740462,0.1746514605278206,0.23469796269813312,0.0,0.9559403116152818,1.0,92.534,92.572,92.47066666666667,-0.04000000000000625,-0.0379999999999967,17,0,1
