Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3
0 days 01:47:32.934000,ALB,0 days 00:01:32.869000,29.0,1.0,MEDIUM,29.0,Williams,Silverstone,21.0,61.0,1001.4,False,33.3,212,1.6,92.869,49.21153846153846,6444.754,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3222.377,1,2,3,15,0.8333333333333334,2,30.28292429486408,4.838683177236895,0.6,49.5,3.5,0.32131711768970334,0.3492167604659687,1.0,93.084,93.126,93.12833333333333
0 days 01:49:05.816000,ALB,0 days 00:01:32.882000,30.0,1.0,MEDIUM,30.0,Williams,Silverstone,21.0,61.0,1001.4,False,32.7,195,1.8,92.882,47.11538461538461,6668.612,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3334.306,1,2,3,15,0.8333333333333334,2,30.636402690716224,1.6759659579399684,0.6,49.5,3.5,0.33128884292325694,0.4034225367413473,1.0,92.869,93.084,93.02633333333334
0 days 01:50:38.632000,ALB,0 days 00:01:32.816000,31.0,1.0,MEDIUM,31.0,Williams,Silverstone,21.0,62.0,1001.4,False,31.4,235,2.2,92.816,45.01923076923076,6892.47,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3446.235,1,2,3,15,0.8333333333333334,2,30.211997022521906,1.761248272724707,0.6,49.5,3.5,0.29839912254265694,0.33671336044539635,1.0,92.882,92.869,92.94500000000001
0 days 02:12:25.185000,ALB,0 days 00:01:31.879000,42.0,2.0,SOFT,14.0,Williams,Silverstone,21.3,62.0,1001.0,False,29.9,200,1.7,91.879,26.573076923076925,9272.434,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4636.217,1,2,3,15,0.8333333333333334,3,33.2542249949417,0.7981921154454159,0.6,49.5,3.5,0.29300517173854634,0.3494920772284819,1.0,91.273,92.176,92.02633333333334
0 days 02:13:56.937000,ALB,0 days 00:01:31.752000,43.0,2.0,SOFT,15.0,Williams,Silverstone,21.4,61.0,1001.0,False,30.7,177,1.7,91.752,24.47692307692307,9484.51,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4742.255,1,2,3,15,0.8333333333333334,3,33.02847420582042,0.5892037347165349,0.6,49.5,3.5,0.42004436998137723,0.519956940936939,1.0,91.879,91.273,91.776
0 days 02:15:28.994000,ALB,0 days 00:01:32.057000,44.0,2.0,SOFT,16.0,Williams,Silverstone,21.4,58.0,1001.0,False,30.9,215,2.2,92.057,22.380769230769232,9684.804,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4842.402,1,2,3,15,0.8333333333333334,3,32.90916967953619,0.5713165238184174,0.6,49.5,3.5,0.32883047578012065,0.3924246108020026,1.0,91.752,91.879,91.63466666666666
0 days 02:17:01.140000,ALB,0 days 00:01:32.146000,45.0,2.0,SOFT,17.0,Williams,Silverstone,21.4,57.0,1001.0,False,30.4,212,2.0,92.146,20.28461538461538,9896.88,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,4948.44,1,2,3,15,0.8333333333333334,3,31.525941885369196,0.7027186428641167,0.6,49.5,3.5,0.2754097979526902,0.3234766754682262,1.0,92.057,91.752,91.896
0 days 02:18:33.256000,ALB,0 days 00:01:32.116000,46.0,2.0,SOFT,18.0,Williams,Silverstone,21.4,58.0,1001.0,False,30.1,199,2.7,92.116,18.18846153846154,10108.956,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5054.478,1,2,3,15,0.8333333333333334,3,30.080852504696125,0.7582993224402321,0.6,49.5,3.5,0.28600961447797085,0.3473279410679523,1.0,92.146,92.057,91.985
0 days 02:20:04.793000,ALB,0 days 00:01:31.537000,47.0,2.0,SOFT,19.0,Williams,Silverstone,21.4,59.0,1001.0,False,30.0,192,2.4,91.537,16.092307692307685,10321.032,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5160.516,1,2,3,15,0.8333333333333334,3,32.1837945163189,1.0251184012865528,0.6,49.5,3.5,0.3155935226005945,0.3565008998012126,1.0,92.116,92.146,92.10633333333332
0 days 02:21:36.259000,ALB,0 days 00:01:31.466000,48.0,2.0,SOFT,20.0,Williams,Silverstone,21.5,57.0,1001.0,False,29.9,184,3.2,91.466,13.996153846153845,10521.326000000001,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5260.6630000000005,1,2,3,15,0.8333333333333334,3,33.13564544195593,1.0560810961285072,0.6,49.5,3.5,0.3090253333716818,0.3648118884570303,1.0,91.537,92.116,91.93299999999999
